,Class,# predictions ,Accuracy
0,Neoceratium,2016.0,0.5972222222222222
1,Noctiluca,19344.0,0.6507444168734491
2,Phaeodaria,45325.0,0.6504136789851076
3,Acantharea,2576.0,0.6079192546583851
4,Foraminifera,18672.0,0.6199121679520138
5,Spumellaria,416.0,0.6394230769230769
6,Coscinodiscus,38336.0,0.6549718280467446
7,Annelida,6896.0,0.6091937354988399
8,larvae__Annelida,576.0,0.5833333333333334
9,Tomopteridae,656.0,0.6371951219512195
10,Evadne,55405.0,0.6471618085010378
11,Podon,4432.0,0.615072202166065
12,Penilia,21216.0,0.6275452488687783
13,larvae__Crustacea,2224.0,0.5989208633093526
14,Gammaridea,1088.0,0.609375
15,Hyperiidea,1728.0,0.6267361111111112
16,Decapoda,11680.0,0.6168664383561644
17,Luciferidae,1792.0,0.6177455357142857
18,zoea__Galatheidae,560.0,0.5875
19,Brachyura,15552.0,0.6241640946502057
20,megalopa,3312.0,0.634963768115942
21,zoea__Decapoda,19360.0,0.6192665289256198
22,calyptopsis,13968.0,0.63631156930126
23,Calanoida,140637.0,0.64181545397015
24,Acartiidae,94384.0,0.6299796575690795
25,Euchirella,688.0,0.6090116279069767
26,Haloptilus,14624.0,0.6331373085339168
27,Calanidae,64480.0,0.6405241935483871
28,Candaciidae,6880.0,0.6084302325581395
29,Centropagidae,14464.0,0.6139380530973452
30,Eucalanidae,13888.0,0.6280241935483871
31,Euchaetidae,7152.0,0.6210850111856824
32,Calocalanus pavo,720.0,0.6152777777777778
33,Pontellidae,4368.0,0.6151556776556777
34,Rhincalanidae,4576.0,0.6230332167832168
35,Temoridae,27024.0,0.6104943753700415
36,Oithonidae,106525.0,0.6456418681060784
37,Harpacticoida,8720.0,0.6121559633027523
38,multiple__Copepoda,9312.0,0.6040592783505154
39,part__Copepoda,1376.0,0.6024709302325582
40,Corycaeidae,31536.0,0.6246194824961948
41,Oncaeidae,35728.0,0.6340685176892074
42,Sapphirinidae,4752.0,0.6121632996632996
43,Copilia,2288.0,0.6092657342657343
44,cirrus,1104.0,0.6096014492753623
45,cypris,2272.0,0.6139964788732394
46,nauplii__Cirripedia,18480.0,0.6377164502164502
47,metanauplii,704.0,0.625
48,nauplii__Crustacea,27520.0,0.6311773255813954
49,Ostracoda,40272.0,0.6423073102900279
50,cyphonaute,26384.0,0.6568753790175864
51,Chaetognatha,80269.0,0.6517210878421308
52,head,912.0,0.5921052631578947
53,tail__Chaetognatha,10208.0,0.612460815047022
54,Actinopterygii,4992.0,0.6095753205128205
55,egg__Actinopterygii,6816.0,0.6500880281690141
56,scale,2048.0,0.61328125
57,Fritillariidae,8016.0,0.6178892215568862
58,Oikopleuridae,52797.0,0.6459457923745667
59,tail__Appendicularia,15808.0,0.6217737854251012
60,Doliolida,11232.0,0.6200142450142451
61,Pyrosomatida,1184.0,0.5954391891891891
62,Salpida,22573.0,0.637753067824392
63,Obelia,3952.0,0.6194331983805668
64,eudoxie__Abylopsis_tetragona,736.0,0.6032608695652174
65,gonophore__Abylopsis_tetragona,256.0,0.63671875
66,nectophore__Abylopsis_tetragona,672.0,0.6130952380952381
67,eudoxie__Diphyidae,10528.0,0.6098024316109423
68,gonophore__Diphyidae,10336.0,0.6243227554179567
69,nectophore__Diphyidae,16480.0,0.6345873786407767
70,nectophore__Physonectae,3568.0,0.6278026905829597
71,Aglaura,1136.0,0.6109154929577465
72,Rhopalonema,1088.0,0.6047794117647058
73,Scyphozoa,256.0,0.65234375
74,ephyra,320.0,0.615625
75,Ctenophora,128.0,0.5546875
76,Echinoidea,848.0,0.5860849056603774
77,Ophiuroidea,4480.0,0.6252232142857143
78,Bivalvia__Mollusca,13264.0,0.6493516284680337
79,Cavoliniidae,8272.0,0.6121856866537717
80,egg__Cavolinia_inflexa,2576.0,0.609860248447205
81,Creseidae,6352.0,0.6198047858942065
82,Limacinidae,30301.0,0.6434771129665687
83,Limacidae,2320.0,0.6202586206896552
