,Class,# predictions ,Accuracy
0,Neoceratium,5622.0,0.0
1,Noctiluca,38902.0,0.0
2,Phaeodaria,42230.0,0.0
3,Acantharea,14838.0,0.0
4,Foraminifera,37366.0,0.0
5,Spumellaria,2560.0,0.0
6,Coscinodiscus,42230.0,0.0
7,Annelida,26112.0,0.0
8,larvae__Annelida,2816.0,0.0
9,Tomopteridae,1280.0,0.0
10,Evadne,42230.0,0.0
11,Podon,17920.0,0.0
12,Penilia,37366.0,0.0
13,larvae__Crustacea,8448.0,0.0
14,Gammaridea,4352.0,0.0
15,Hyperiidea,9472.0,0.0
16,Decapoda,33782.0,0.0
17,Luciferidae,8704.0,0.0
18,zoea__Galatheidae,3072.0,0.0
19,Brachyura,36598.0,0.0
20,megalopa,15094.0,0.0
21,zoea__Decapoda,37366.0,0.0
22,calyptopsis,33526.0,0.0
23,Calanoida,42230.0,0.0
24,Acartiidae,42230.0,0.0
25,Euchirella,1792.0,0.0
26,Haloptilus,34304.0,0.0
27,Calanidae,42230.0,0.0
28,Candaciidae,21248.0,0.0
29,Centropagidae,35072.0,0.0
30,Eucalanidae,35062.0,0.0
31,Euchaetidae,24566.0,0.0
32,Calocalanus pavo,2560.0,0.0
33,Pontellidae,16128.0,0.0
34,Rhincalanidae,17654.0,0.0
35,Temoridae,40694.0,0.0
36,Oithonidae,42230.0,0.0
37,Harpacticoida,27392.0,0.0
38,multiple__Copepoda,26870.0,0.0
39,part__Copepoda,4096.0,0.0
40,Corycaeidae,41462.0,0.0
41,Oncaeidae,42230.0,0.0
42,Sapphirinidae,14582.0,0.0
43,Copilia,11008.0,0.0
44,cirrus,4352.0,0.0
45,cypris,8960.0,0.0
46,nauplii__Cirripedia,38134.0,0.0
47,metanauplii,2560.0,0.0
48,nauplii__Crustacea,40950.0,0.0
49,Ostracoda,41974.0,0.0
50,cyphonaute,39926.0,0.0
51,Chaetognatha,42230.0,0.0
52,head,4096.0,0.0
53,tail__Chaetognatha,30198.0,0.0
54,Actinopterygii,19446.0,0.0
55,egg__Actinopterygii,24822.0,0.0
56,scale,10496.0,0.0
57,Fritillariidae,28150.0,0.0
58,Oikopleuridae,42230.0,0.0
59,tail__Appendicularia,34806.0,0.0
60,Doliolida,31222.0,0.0
61,Pyrosomatida,3840.0,0.0
62,Salpida,39926.0,0.0
63,Obelia,17664.0,0.0
64,eudoxie__Abylopsis_tetragona,3840.0,0.0
65,gonophore__Abylopsis_tetragona,1280.0,0.0
66,nectophore__Abylopsis_tetragona,3840.0,0.0
67,eudoxie__Diphyidae,29952.0,0.0
68,gonophore__Diphyidae,29942.0,0.0
69,nectophore__Diphyidae,38144.0,0.0
70,nectophore__Physonectae,16118.0,0.0
71,Aglaura,7936.0,0.0
72,Rhopalonema,3840.0,0.0
73,Scyphozoa,1024.0,0.0
74,ephyra,2560.0,0.0
75,Ctenophora,512.0,0.0
76,Echinoidea,4096.0,0.0
77,Ophiuroidea,17398.0,0.0
78,Bivalvia__Mollusca,34048.0,0.0
79,Cavoliniidae,25334.0,0.0
80,egg__Cavolinia_inflexa,8704.0,0.0
81,Creseidae,22262.0,0.0
82,Limacinidae,41206.0,0.0
83,Limacidae,7936.0,0.0
