,Class,# predictions ,Accuracy
0,Neoceratium,24192.0,0.0
1,Noctiluca,152192.0,0.0
2,Phaeodaria,202699.0,0.0
3,Acantharea,27392.0,0.0
4,Foraminifera,143563.0,0.0
5,Spumellaria,5888.0,0.0
6,Coscinodiscus,196043.0,0.0
7,Annelida,75136.0,0.0
8,larvae__Annelida,7296.0,0.0
9,Tomopteridae,6784.0,0.0
10,Evadne,206795.0,0.0
11,Podon,50048.0,0.0
12,Penilia,153163.0,0.0
13,larvae__Crustacea,25472.0,0.0
14,Gammaridea,13696.0,0.0
15,Hyperiidea,21888.0,0.0
16,Decapoda,107339.0,0.0
17,Luciferidae,20864.0,0.0
18,zoea__Galatheidae,7552.0,0.0
19,Brachyura,132299.0,0.0
20,megalopa,35584.0,0.0
21,zoea__Decapoda,147328.0,0.0
22,calyptopsis,113227.0,0.0
23,Calanoida,211147.0,0.0
24,Acartiidae,211147.0,0.0
25,Euchirella,5632.0,0.0
26,Haloptilus,116224.0,0.0
27,Calanidae,209611.0,0.0
28,Candaciidae,68427.0,0.0
29,Centropagidae,126795.0,0.0
30,Eucalanidae,121728.0,0.0
31,Euchaetidae,70656.0,0.0
32,Calocalanus pavo,8320.0,0.0
33,Pontellidae,51328.0,0.0
34,Rhincalanidae,45312.0,0.0
35,Temoridae,170443.0,0.0
36,Oithonidae,211147.0,0.0
37,Harpacticoida,84224.0,0.0
38,multiple__Copepoda,87115.0,0.0
39,part__Copepoda,15819.0,0.0
40,Corycaeidae,181963.0,0.0
41,Oncaeidae,189899.0,0.0
42,Sapphirinidae,48000.0,0.0
43,Copilia,29440.0,0.0
44,cirrus,11520.0,0.0
45,cypris,27136.0,0.0
46,nauplii__Cirripedia,146123.0,0.0
47,metanauplii,7296.0,0.0
48,nauplii__Crustacea,175435.0,0.0
49,Ostracoda,196683.0,0.0
50,cyphonaute,170880.0,0.0
51,Chaetognatha,210891.0,0.0
52,head,10496.0,0.0
53,tail__Chaetognatha,87499.0,0.0
54,Actinopterygii,51072.0,0.0
55,egg__Actinopterygii,68736.0,0.0
56,scale,24192.0,0.0
57,Fritillariidae,78464.0,0.0
58,Oikopleuridae,203723.0,0.0
59,tail__Appendicularia,130560.0,0.0
60,Doliolida,103296.0,0.0
61,Pyrosomatida,14464.0,0.0
62,Salpida,158027.0,0.0
63,Obelia,41600.0,0.0
64,eudoxie__Abylopsis_tetragona,10112.0,0.0
65,gonophore__Abylopsis_tetragona,3968.0,0.0
66,nectophore__Abylopsis_tetragona,8320.0,0.0
67,eudoxie__Diphyidae,101707.0,0.0
68,gonophore__Diphyidae,98176.0,0.0
69,nectophore__Diphyidae,137675.0,0.0
70,nectophore__Physonectae,38144.0,0.0
71,Aglaura,16256.0,0.0
72,Rhopalonema,12032.0,0.0
73,Scyphozoa,2304.0,0.0
74,ephyra,3712.0,0.0
75,Ctenophora,1792.0,0.0
76,Echinoidea,10624.0,0.0
77,Ophiuroidea,48000.0,0.0
78,Bivalvia__Mollusca,116608.0,0.0
79,Cavoliniidae,88320.0,0.0
80,egg__Cavolinia_inflexa,29568.0,0.0
81,Creseidae,63744.0,0.0
82,Limacinidae,183296.0,0.0
83,Limacidae,30336.0,0.0
