,Class,# predictions ,Accuracy
0,Neoceratium,5984.0,0.0
1,Noctiluca,55072.0,0.0
2,Phaeodaria,115712.0,0.0
3,Acantharea,7712.0,0.0
4,Foraminifera,53771.0,0.0
5,Spumellaria,1504.0,0.0
6,Coscinodiscus,102016.0,0.0
7,Annelida,21280.0,0.0
8,larvae__Annelida,1984.0,0.0
9,Tomopteridae,1888.0,0.0
10,Evadne,132928.0,0.0
11,Podon,13280.0,0.0
12,Penilia,58688.0,0.0
13,larvae__Crustacea,6336.0,0.0
14,Gammaridea,3840.0,0.0
15,Hyperiidea,5376.0,0.0
16,Decapoda,35136.0,0.0
17,Luciferidae,4672.0,0.0
18,zoea__Galatheidae,1760.0,0.0
19,Brachyura,44960.0,0.0
20,megalopa,10080.0,0.0
21,zoea__Decapoda,52448.0,0.0
22,calyptopsis,37120.0,0.0
23,Calanoida,211147.0,0.0
24,Acartiidae,187200.0,0.0
25,Euchirella,1696.0,0.0
26,Haloptilus,38496.0,0.0
27,Calanidae,148576.0,0.0
28,Candaciidae,19424.0,0.0
29,Centropagidae,42688.0,0.0
30,Eucalanidae,40512.0,0.0
31,Euchaetidae,20832.0,0.0
32,Calocalanus pavo,2432.0,0.0
33,Pontellidae,13024.0,0.0
34,Rhincalanidae,12416.0,0.0
35,Temoridae,71776.0,0.0
36,Oithonidae,198048.0,0.0
37,Harpacticoida,27392.0,0.0
38,multiple__Copepoda,25600.0,0.0
39,part__Copepoda,4512.0,0.0
40,Corycaeidae,84523.0,0.0
41,Oncaeidae,94304.0,0.0
42,Sapphirinidae,13344.0,0.0
43,Copilia,6688.0,0.0
44,cirrus,3296.0,0.0
45,cypris,7712.0,0.0
46,nauplii__Cirripedia,52928.0,0.0
47,metanauplii,1792.0,0.0
48,nauplii__Crustacea,76107.0,0.0
49,Ostracoda,103328.0,0.0
50,cyphonaute,71296.0,0.0
51,Chaetognatha,171915.0,0.0
52,head,2400.0,0.0
53,tail__Chaetognatha,28064.0,0.0
54,Actinopterygii,14368.0,0.0
55,egg__Actinopterygii,20320.0,0.0
56,scale,6080.0,0.0
57,Fritillariidae,22699.0,0.0
58,Oikopleuridae,129739.0,0.0
59,tail__Appendicularia,44491.0,0.0
60,Doliolida,33355.0,0.0
61,Pyrosomatida,3520.0,0.0
62,Salpida,63552.0,0.0
63,Obelia,11424.0,0.0
64,eudoxie__Abylopsis_tetragona,2368.0,0.0
65,gonophore__Abylopsis_tetragona,864.0,0.0
66,nectophore__Abylopsis_tetragona,1696.0,0.0
67,eudoxie__Diphyidae,30923.0,0.0
68,gonophore__Diphyidae,29344.0,0.0
69,nectophore__Diphyidae,48000.0,0.0
70,nectophore__Physonectae,10400.0,0.0
71,Aglaura,4032.0,0.0
72,Rhopalonema,2912.0,0.0
73,Scyphozoa,672.0,0.0
74,ephyra,1120.0,0.0
75,Ctenophora,352.0,0.0
76,Echinoidea,1920.0,0.0
77,Ophiuroidea,12160.0,0.0
78,Bivalvia__Mollusca,38688.0,0.0
79,Cavoliniidae,25280.0,0.0
80,egg__Cavolinia_inflexa,7584.0,0.0
81,Creseidae,20416.0,0.0
82,Limacinidae,85184.0,0.0
83,Limacidae,7104.0,0.0
